"var","0_muz","1_zena","2=neurc","vek_roky","kostky","slovnik","matrice","podobnosti"
"school",NA,NA,NA,NA,NA,NA,NA,NA
"0_ZS_bezna",93,98,1,"11.00 (2.60)","35.27 (14.31)","26.61 (7.68)","17.57 (5.33)","22.64 (5.79)"
"1_ZS_speci",1,0,0,"7.95 (NA)","36.00 (NA)","29.00 (NA)","21.00 (NA)","16.00 (NA)"
"3_SOU_vyucni",4,2,0,"16.72 (0.61)","46.17 (14.91)","28.00 (7.85)","21.83 (5.15)","27.83 (3.66)"
"4_SOU_maturita",10,17,0,"17.25 (1.12)","47.67 (9.87)","32.11 (5.81)","22.48 (2.95)","28.00 (4.29)"
"5_gym",31,55,0,"16.63 (2.31)","54.31 (9.88)","39.74 (7.59)","23.28 (2.68)","31.48 (5.82)"
"7_VS",4,3,0,"19.41 (0.24)","50.50 (8.85)","42.43 (10.01)","21.14 (3.02)","32.57 (4.96)"
"9_MS",1,5,0,"6.39 (0.20)","17.00 (6.66)","13.50 (5.43)","11.33 (3.72)","13.33 (5.68)"
"class",NA,NA,NA,NA,NA,NA,NA,NA
"0",1,5,0,"6.39 (0.20)","17.00 (6.66)","13.50 (5.43)","11.33 (3.72)","13.33 (5.68)"
"1",23,24,0,"13.01 (4.96)","38.09 (17.61)","29.57 (11.87)","18.28 (6.79)","24.70 (8.77)"
"2",24,21,0,"12.01 (4.64)","37.64 (17.66)","29.42 (11.31)","18.22 (5.64)","24.44 (7.89)"
"3",16,25,0,"13.34 (4.48)","40.15 (17.01)","29.61 (8.91)","18.80 (5.95)","24.12 (6.65)"
"4",15,30,0,"14.37 (4.40)","43.44 (15.60)","32.96 (10.99)","20.36 (4.22)","27.76 (7.96)"
"5",14,16,1,"12.78 (2.79)","43.19 (14.86)","30.84 (7.12)","19.77 (4.63)","25.03 (4.97)"
"6",13,13,0,"12.19 (1.38)","41.12 (10.98)","30.54 (7.96)","19.77 (4.62)","25.50 (6.04)"
"7",12,17,0,"13.36 (2.10)","43.52 (11.39)","31.00 (6.40)","20.79 (4.12)","26.48 (5.05)"
"8",11,16,0,"14.53 (1.72)","46.44 (11.21)","32.96 (6.75)","21.81 (3.49)","28.11 (4.90)"
"9",17,12,0,"14.91 (0.72)","49.66 (11.60)","33.76 (9.08)","21.83 (3.22)","27.45 (4.83)"
